FileTimestamp;Rows
2013-04-03;2027

SettlementStatus;PaymentType;PaymentMethod;TransactionID;UniqueID;ShortID;ChannelName;CustomerCountry;Valuedate;RequestTimestamp;Brand;Separator;Credit Trn Amount;Debit Trn Amount;Trn Ccy;Separator;Gross Funding Amount;Separator;Net Funding Amount;Funding Ccy;Separator;Total Fees;Fee Ccy;Settlement Account;Separator;Acq Fx;Separator;Settlement Fx;Separator;Settlement Amt;Settlement ccy
ACK;RI;RM;24379_moneybookerspsp_cc;8a8394823c6ce408013c9bfa239c2940;0285.4342.6834;USD;US ;2013-02-02;2013-02-02 17:35:27;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98295_moneybookerspsp_cc;8a8394903c6ce40e013c9cdb9b4f2086;5731.7144.1938;USD;US ;2013-02-02;2013-02-02 21:41:43;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98295_moneybookerspsp_cc;8a8394903c6ce40e013c9cdb9bc32091;0234.1562.8050;USD;US ;2013-02-02;2013-02-02 21:41:43;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98295_moneybookerspsp_cc;8a8394903c6ce40e013c9cdb9c2b2096;8480.4934.8882;USD;US ;2013-02-02;2013-02-02 21:41:43;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24403_moneybookerspsp_cc;8a83948a3c6ce40d013c9cdbb6b531c8;9248.2188.9298;USD;US ;2013-02-02;2013-02-02 21:41:50;AMEX;2;0;7200;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24403_moneybookerspsp_cc;8a83948a3c6ce40d013c9cdbb9f831d4;3750.6607.5410;USD;US ;2013-02-02;2013-02-02 21:41:51;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98288_moneybookerspsp_cc;8a8394893c6ce234013c9d0f618375b6;1335.4127.3874;USD;US ;2013-02-02;2013-02-02 22:38:16;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98288_moneybookerspsp_cc;8a8394893c6ce234013c9d0f61e575bb;9581.7499.4706;USD;US ;2013-02-02;2013-02-02 22:38:16;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98288_moneybookerspsp_cc;8a8394893c6ce234013c9d0f610c75ab;6832.9708.7762;USD;US ;2013-02-02;2013-02-02 22:38:16;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24408_moneybookerspsp_cc;8a8394883c6ce40f013c9d0f77b4559e;3614.7653.0450;USD;US ;2013-02-02;2013-02-02 22:38:21;AMEX;2;0;4000;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24408_moneybookerspsp_cc;8a8394883c6ce40f013c9d0f7ae655aa;7351.3868.5202;USD;US ;2013-02-02;2013-02-02 22:38:22;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98333_moneybookerspsp_cc;8a8394903c6ce40e013c9d46e5004e0e;4026.8137.2946;USD;US ;2013-02-02;2013-02-02 23:38:54;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98333_moneybookerspsp_cc;8a8394903c6ce40e013c9d46e56c4e13;7119.1901.8258;USD;US ;2013-02-02;2013-02-02 23:38:54;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98333_moneybookerspsp_cc;8a8394903c6ce40e013c9d46e48e4e03;9524.3718.6834;USD;US ;2013-02-02;2013-02-02 23:38:54;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24413_moneybookerspsp_cc;8a8394833c6ce22c013c9d47000452cf;1605.5259.1634;USD;US ;2013-02-02;2013-02-02 23:39:01;AMEX;2;0;1600;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24413_moneybookerspsp_cc;8a8394833c6ce22c013c9d4702d752db;9851.8631.2466;USD;US ;2013-02-02;2013-02-02 23:39:02;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98363_moneybookerspsp_cc;8a8394853c6ce22e013c9dd2bd9151e9;8642.6452.8146;USD;US ;2013-02-03;2013-02-03 02:11:39;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98363_moneybookerspsp_cc;8a8394853c6ce22e013c9dd2bc6151d9;5893.8662.1202;USD;US ;2013-02-03;2013-02-03 02:11:39;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98363_moneybookerspsp_cc;8a8394853c6ce22e013c9dd2bccc51e4;0396.3080.7314;USD;US ;2013-02-03;2013-02-03 02:11:39;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24422_moneybookerspsp_cc;8a83948e3c6ce409013c9dd2ec730283;3796.0431.2338;USD;US ;2013-02-03;2013-02-03 02:11:51;AMEX;2;0;8400;USD;2;000;4;00000;;4;;;;6;;6;;2;;
